省份,城市,城市代码,日期,有效时次,日平均气温(°C)
浙江省,温州,58659,2019-05-28,4,19.8
贵州省,天柱,57840,2019-05-28,4,19.8
河南省,襄城,57182,2019-05-28,4,19.9
江苏省,盱眙,58138,2019-05-28,4,19.9
云南省,昆明,56778,2019-05-28,4,19.9
云南省,贡山,56533,2019-05-28,4,19.9
贵州省,玉屏,57739,2019-05-28,4,20.0
河南省,漯河市,57186,2019-05-28,4,20.0
江苏省,泰州,58246,2019-05-28,4,20.0
江苏省,扬州,58245,2019-05-28,4,20.0
河南省,上蔡县,57194,2019-05-28,4,20.0
贵州省,锦屏,57844,2019-05-28,4,20.1
辽宁省,瓦房店,54563,2019-05-28,4,20.2
陕西省,米脂,53750,2019-05-28,4,20.2
安徽省,滁州,58236,2019-05-28,4,20.2
河南省,许昌,57089,2019-05-28,4,20.2
贵州省,石阡,57734,2019-05-28,4,20.3
安徽省,宿州,58122,2019-05-28,4,20.4
江苏省,宿迁,58131,2019-05-28,4,20.4
重庆市,石柱,57438,2019-05-28,4,20.4
湖北省,荆门,57377,2019-05-28,4,20.4
江苏省,南通,58259,2019-05-28,4,20.4
湖北省,宣恩,57541,2019-05-28,4,20.4
湖北省,长阳,57464,2019-05-28,4,20.4
浙江省,宁波,58562,2019-05-28,4,20.4
云南省,玉溪,56875,2019-05-28,4,20.5
贵州省,铜仁,57741,2019-05-28,4,20.5
河南省,孟津县,57071,2019-05-28,4,20.5
重庆市,秀山,57635,2019-05-28,4,20.5
河南省,洛阳市,57073,2019-05-28,4,20.5
贵州省,德江,57637,2019-05-28,4,20.6
河南省,夏邑,58017,2019-05-28,4,20.6
江苏省,连云港,58044,2019-05-28,4,20.6
北京市,延庆,54406,2019-05-28,4,20.6
福建省,宁德,58846,2019-05-28,4,20.6
北京市,密云,54416,2019-05-28,4,20.6
浙江省,临安,58448,2019-05-28,4,20.6
江西省,贵溪,58626,2019-05-28,4,20.6
浙江省,平湖,58464,2019-05-28,4,20.7
江西省,鹰潭,58627,2019-05-28,4,20.7
河南省,商丘,58005,2019-05-28,4,20.7
安徽省,蚌埠,58221,2019-05-28,4,20.8
河南省,新蔡县,57293,2019-05-28,4,20.8
新疆维吾尔自治区,和田,51828,2019-05-28,4,20.8
安徽省,马鞍山,58336,2019-05-28,4,20.8
河南省,汝州,57075,2019-05-28,4,20.8
贵州省,从江,57936,2019-05-28,4,20.8
辽宁省,营口,54471,2019-05-28,4,20.8
江苏省,南京,58238,2019-05-28,4,20.9
安徽省,池州,58427,2019-05-28,4,20.9
江苏省,江宁,58333,2019-05-28,4,20.9
安徽省,淮北,58116,2019-05-28,4,20.9
辽宁省,朝阳,54324,2019-05-28,4,20.9
北京市,平谷,54424,2019-05-28,4,21.0
安徽省,宣城,58433,2019-05-28,4,21.0
湖北省,巴东,57355,2019-05-28,4,21.0
湖北省,宜城,57370,2019-05-28,4,21.0
新疆维吾尔自治区,阿图什,51704,2019-05-28,4,21.1
安徽省,淮南,58224,2019-05-28,4,21.2
湖北省,宜昌,57461,2019-05-28,4,21.2
山东省,青岛,54857,2019-05-28,4,21.2
安徽省,芜湖,58334,2019-05-28,4,21.2
河南省,柘城,58007,2019-05-28,4,21.2
江苏省,苏州,58349,2019-05-28,4,21.2
江苏省,无锡,58354,2019-05-28,4,21.2
天津市,蓟县,54428,2019-05-28,4,21.3
湖北省,枣阳,57279,2019-05-28,4,21.4
安徽省,阜阳,58203,2019-05-28,4,21.4
广西壮族自治区,凌云,59015,2019-05-28,4,21.4
河南省,睢县,58001,2019-05-28,4,21.4
浙江省,绍兴,58453,2019-05-28,4,21.4
安徽省,安庆,58424,2019-05-28,4,21.4
新疆维吾尔自治区,阿克苏,51628,2019-05-28,4,21.4
河南省,潢川,58207,2019-05-28,4,21.4
安徽省,黄山市,58531,2019-05-28,4,21.5
浙江省,嘉兴,58452,2019-05-28,4,21.5
江苏省,常州,58343,2019-05-28,4,21.5
河南省,通许,57191,2019-05-28,4,21.6
河南省,信阳市,57297,2019-05-28,4,21.6
河南省,周口,57195,2019-05-28,4,21.6
陕西省,吴堡,53756,2019-05-28,4,21.6
辽宁省,葫芦岛,54453,2019-05-28,4,21.6
湖南省,怀化,57749,2019-05-28,4,21.6
湖南省,吉首,57649,2019-05-28,4,21.7
辽宁省,锦州,54337,2019-05-28,4,21.8
湖南省,永州,57866,2019-05-28,4,21.8
安徽省,合肥,58321,2019-05-28,4,21.8
江西省,九江,58502,2019-05-28,4,21.8
江西省,吉安,57799,2019-05-28,4,21.8
浙江省,湖州,58450,2019-05-28,4,21.8
安徽省,亳州,58102,2019-05-28,4,21.8
湖南省,临武,57978,2019-05-28,4,21.8
江苏省,徐州,58027,2019-05-28,4,21.8
河南省,杞县,57096,2019-05-28,4,21.9
安徽省,巢湖,58326,2019-05-28,4,21.9
湖南省,桑植,57554,2019-05-28,4,21.9
山东省,日照,54945,2019-05-28,4,21.9
河北省,唐山,54534,2019-05-28,4,21.9
河南省,固始,58208,2019-05-28,4,22.0
河北省,保定,54602,2019-05-28,4,22.0
河南省,济源,53978,2019-05-28,4,22.0
江苏省,镇江,58248,2019-05-28,4,22.0
湖北省,随州,57381,2019-05-28,4,22.0
浙江省,杭州,58457,2019-05-28,4,22.0
广西壮族自治区,隆林,59001,2019-05-28,4,22.0
湖北省,当阳,57460,2019-05-28,4,22.1
湖北省,荆州,57476,2019-05-28,4,22.1
河南省,开封市,57091,2019-05-28,4,22.1
江西省,抚州,58619,2019-05-28,4,22.2
江西省,抚州,58617,2019-05-28,4,22.2
山东省,莱芜,54828,2019-05-28,4,22.2
北京市,通州,54431,2019-05-28,4,22.2
云南省,大理,56751,2019-05-28,4,22.2
安徽省,六安,58311,2019-05-28,4,22.2
江西省,广昌,58813,2019-05-28,4,22.2
云南省,丽江,56651,2019-05-28,4,22.2
山东省,泰安,54827,2019-05-28,4,22.2
河南省,商城,58301,2019-05-28,4,22.3
山东省,枣庄,58024,2019-05-28,4,22.3
江西省,赣州,57993,2019-05-28,4,22.3
重庆市,彭水,57537,2019-05-28,4,22.3
山东省,临沂,54938,2019-05-28,4,22.3
广西壮族自治区,河池,59023,2019-05-28,4,22.3
湖北省,天门,57483,2019-05-28,4,22.4
云南省,文山,56994,2019-05-28,4,22.4
江苏省,赣榆,58040,2019-05-28,4,22.4
河南省,濮阳,54900,2019-05-28,4,22.4
河北省,秦皇岛,54449,2019-05-28,4,22.5
福建省,莆田,58946,2019-05-28,4,22.5
湖北省,潜江,57475,2019-05-28,4,22.5
山东省,济宁,54915,2019-05-28,4,22.5
山东省,聊城,54806,2019-05-28,4,22.5
四川省,西昌,56571,2019-05-28,4,22.6
河南省,鹤壁,53990,2019-05-28,4,22.6
福建省,晋江,59137,2019-05-28,4,22.6
湖南省,邵阳市,57766,2019-05-28,4,22.7
湖北省,咸宁,57590,2019-05-28,4,22.7
新疆维吾尔自治区,阿拉尔,51730,2019-05-28,4,22.7
广西壮族自治区,宜州,59034,2019-05-28,4,22.7
湖北省,监利,57573,2019-05-28,4,22.8
山东省,菏泽,54906,2019-05-28,4,22.8
湖北省,新洲,57492,2019-05-28,4,22.8
重庆市,开县,57338,2019-05-28,4,22.8
江西省,宜春,57793,2019-05-28,4,22.9
福建省,厦门,59134,2019-05-28,4,22.9
天津市,宝坻,54525,2019-05-28,4,23.0
辽宁省,大连,54662,2019-05-28,4,23.0
湖南省,常德,57662,2019-05-28,4,23.0
湖南省,沅陵,57655,2019-05-28,4,23.0
江西省,景德镇,58527,2019-05-28,4,23.0
北京市,怀柔,54419,2019-05-28,4,23.0
山东省,威海,54774,2019-05-28,4,23.0
山东省,济南,54823,2019-05-28,4,23.1
广西壮族自治区,田阳,59213,2019-05-28,4,23.1
重庆市,云阳,57339,2019-05-28,4,23.1
湖北省,恩施,57447,2019-05-28,4,23.2
湖北省,鄂州,57496,2019-05-28,4,23.2
湖北省,黄冈,57498,2019-05-28,4,23.2
山东省,淄博,54830,2019-05-28,4,23.2
湖北省,麻城,57399,2019-05-28,4,23.3
湖北省,孝感,57482,2019-05-28,4,23.4
广西壮族自治区,百色,59211,2019-05-28,4,23.4
湖北省,仙桃,57485,2019-05-28,4,23.4
山东省,烟台,54765,2019-05-28,4,23.4
河南省,郑州,57083,2019-05-28,4,23.4
湖北省,武汉,57494,2019-05-28,4,23.4
湖南省,张家界,57558,2019-05-28,4,23.4
福建省,南平,58834,2019-05-28,4,23.5
广西壮族自治区,柳州,59046,2019-05-28,4,23.5
河南省,新乡市,53986,2019-05-28,4,23.6
新疆维吾尔自治区,哈密,52203,2019-05-28,4,23.6
广西壮族自治区,宾阳,59238,2019-05-28,4,23.6
河北省,廊坊,54515,2019-05-28,4,23.6
河南省,焦作市,53982,2019-05-28,4,23.7
湖北省,黄石,58407,2019-05-28,4,23.8
江西省,萍乡,57786,2019-05-28,4,23.8
广西壮族自治区,桂林,57957,2019-05-28,4,23.8
湖南省,娄底,57763,2019-05-28,4,24.0
湖南省,岳阳,57584,2019-05-28,4,24.0
北京市,大兴,54594,2019-05-28,4,24.0
北京市,北京,54511,2019-05-28,4,24.0
福建省,龙岩,58927,2019-05-28,4,24.1
广西壮族自治区,藤县,59256,2019-05-28,4,24.1
广西壮族自治区,融安,57947,2019-05-28,4,24.1
江西省,南昌,58606,2019-05-28,4,24.2
福建省,三明,58828,2019-05-28,4,24.2
河北省,沧州,54616,2019-05-28,4,24.2
福建省,漳州,59126,2019-05-28,4,24.2
北京市,房山,54596,2019-05-28,4,24.3
山东省,潍坊,54843,2019-05-28,4,24.3
广西壮族自治区,富川,59061,2019-05-28,4,24.3
广东省,南雄,57996,2019-05-28,4,24.4
湖南省,益阳,57674,2019-05-28,4,24.4
天津市,静海,54619,2019-05-28,4,24.4
广西壮族自治区,贺州,59065,2019-05-28,4,24.4
湖南省,湘潭,57773,2019-05-28,4,24.5
云南省,保山,56748,2019-05-28,4,24.5
天津市,宁河,54529,2019-05-28,4,24.5
广西壮族自治区,宁明,59427,2019-05-28,4,24.5
山东省,滨州,54734,2019-05-28,4,24.5
广西壮族自治区,南宁,59431,2019-05-28,4,24.6
广西壮族自治区,南宁城区,59432,2019-05-28,4,24.6
山东省,东营,54736,2019-05-28,4,24.6
天津市,武清,54523,2019-05-28,4,24.6
广东省,平远,59106,2019-05-28,4,24.6
广西壮族自治区,蒙山,59058,2019-05-28,4,24.6
广东省,揭阳,59315,2019-05-28,4,24.7
山东省,德州,54714,2019-05-28,4,24.7
广东省,潮州,59312,2019-05-28,4,24.7
云南省,临沧,56951,2019-05-28,4,24.7
湖北省,崇阳,57586,2019-05-28,4,24.7
广西壮族自治区,武鸣,59237,2019-05-28,4,24.8
广东省,大埔,59116,2019-05-28,4,24.8
广东省,蕉岭,59114,2019-05-28,4,24.8
广西壮族自治区,荔浦,59055,2019-05-28,4,24.8
广西壮族自治区,来宾,59242,2019-05-28,4,24.8
海南省,乐东,59940,2019-05-28,4,24.9
北京市,顺义,54398,2019-05-28,4,24.9
广东省,汕尾,59501,2019-05-28,4,24.9
湖南省,长沙,57679,2019-05-28,4,24.9
湖南省,长沙县,P5599,2019-05-28,4,24.9
北京市,门头沟,54505,2019-05-28,4,24.9
天津市,西青,54527,2019-05-28,4,24.9
云南省,楚雄,56768,2019-05-28,4,25.0
广西壮族自治区,鹿寨,59045,2019-05-28,4,25.0
河北省,任丘,54610,2019-05-28,4,25.1
河北省,邢台,53798,2019-05-28,4,25.2
广西壮族自治区,邕宁,59435,2019-05-28,4,25.2
天津市,津南,54622,2019-05-28,4,25.3
广东省,翁源,59094,2019-05-28,4,25.3
河北省,邯郸,53892,2019-05-28,4,25.3
广东省,乳源,59081,2019-05-28,4,25.3
广东省,普宁,59314,2019-05-28,4,25.4
广东省,梅县,59117,2019-05-28,4,25.4
广东省,梅州,591170,2019-05-28,4,25.4
广东省,惠州,59298,2019-05-28,4,25.4
海南省,白沙,59848,2019-05-28,4,25.6
北京市,昌平,54499,2019-05-28,4,25.6
河北省,衡水,54702,2019-05-28,4,25.6
广西壮族自治区,梧州,59265,2019-05-28,4,25.7
海南省,保亭,59945,2019-05-28,4,25.7
广东省,汕头,59316,2019-05-28,4,25.7
广西壮族自治区,龙州,59417,2019-05-28,4,25.8
天津市,北辰,54528,2019-05-28,4,25.8
云南省,红河,56975,2019-05-28,4,25.8
海南省,琼中,59849,2019-05-28,4,25.8
广东省,曲江,59085,2019-05-28,4,25.8
广东省,韶关,59082,2019-05-28,4,25.8
广东省,揭西,59306,2019-05-28,4,25.8
广东省,陆丰,59502,2019-05-28,4,25.8
广东省,饶平,59313,2019-05-28,4,25.8
广西壮族自治区,崇左,59425,2019-05-28,4,25.9
广西壮族自治区,苍梧,59266,2019-05-28,4,25.9
广西壮族自治区,玉林,59453,2019-05-28,4,26.0
广东省,广州,59287,2019-05-28,4,26.0
广西壮族自治区,防城港,59635,2019-05-28,4,26.0
广东省,珠海,59488,2019-05-28,4,26.0
广西壮族自治区,钦州,59632,2019-05-28,4,26.1
广东省,博罗,59297,2019-05-28,4,26.2
广东省,从化,59285,2019-05-28,4,26.2
广东省,河源,59293,2019-05-28,4,26.2
天津市,天津,54517,2019-05-28,4,26.2
广东省,阳江,59663,2019-05-28,4,26.2
广东省,清远,59280,2019-05-28,4,26.3
天津市,滨海新区,54623,2019-05-28,4,26.4
广东省,云浮,59471,2019-05-28,4,26.4
广西壮族自治区,贵港,59249,2019-05-28,4,26.4
广东省,东莞,59289,2019-05-28,4,26.4
四川省,攀枝花,56666,2019-05-28,4,26.4
海南省,三亚,59948,2019-05-28,4,26.5
广东省,郁南,59268,2019-05-28,4,26.5
广东省,恩平,59477,2019-05-28,4,26.6
云南省,瑞丽,56838,2019-05-28,4,26.6
广东省,鹤山,59473,2019-05-28,4,26.6
广西壮族自治区,合浦,59640,2019-05-28,4,26.8
云南省,潞西,56844,2019-05-28,4,26.8
广东省,佛山,59288,2019-05-28,4,26.8
广东省,高要,59278,2019-05-28,4,26.8
广东省,肇庆,592780,2019-05-28,4,26.8
广东省,中山,59485,2019-05-28,4,27.0
广东省,三水,59279,2019-05-28,4,27.0
海南省,屯昌,59854,2019-05-28,4,27.0
广东省,高州,59653,2019-05-28,4,27.0
海南省,临高,59842,2019-05-28,4,27.2
海南省,澄迈,59843,2019-05-28,4,27.2
海南省,定安,59851,2019-05-28,4,27.3
云南省,思茅,56964,2019-05-28,4,27.4
广西壮族自治区,北海,59644,2019-05-28,4,27.4
新疆维吾尔自治区,吐鲁番,51573,2019-05-28,4,27.5
广东省,电白,59664,2019-05-28,4,27.6
广东省,顺德,59480,2019-05-28,4,27.7
海南省,儋州,59845,2019-05-28,4,27.7
广东省,茂名,59659,2019-05-28,4,28.0
广东省,湛江,59658,2019-05-28,4,28.0
海南省,琼海,59855,2019-05-28,4,28.1
海南省,陵水,59954,2019-05-28,4,28.2
海南省,文昌,59856,2019-05-28,4,28.4
海南省,万宁,59951,2019-05-28,4,29.0
海南省,东方,59838,2019-05-28,4,29.4
云南省,景洪,56959,2019-05-28,4,30.6
